GEO_OBJECT,TIME_PERIOD,OBS_VALUE,code
DEP,2016,18031,59
DEP,2017,19327,59
DEP,2018,22256,59
DEP,2019,27186,59
DEP,2020,29078,59
DEP,2021,34288,59
DEP,2022,32688,59
DEP,2023,31943,59
DEP,2024,34558,59
DEP,2012,5324,60
DEP,2013,5261,60
DEP,2014,5476,60
DEP,2015,5276,60
DEP,2016,5490,60
DEP,2017,5875,60
DEP,2018,6525,60
DEP,2019,7416,60
DEP,2020,7658,60
DEP,2021,9473,60
DEP,2022,9689,60
DEP,2023,9733,60
DEP,2024,10366,60
DEP,2012,1453,61
DEP,2013,1515,61
DEP,2014,1524,61
DEP,2015,1466,61
DEP,2016,1534,61
DEP,2017,1619,61
DEP,2018,1723,61
DEP,2019,1942,61
DEP,2020,2065,61
DEP,2021,2488,61
DEP,2022,2474,61
DEP,2023,2422,61
DEP,2024,2619,61
DEP,2012,8052,62
DEP,2013,7800,62
DEP,2014,7919,62
DEP,2015,7252,62
DEP,2016,7085,62
DEP,2017,7724,62
DEP,2018,8576,62
DEP,2019,10527,62
DEP,2020,11163,62
DEP,2021,13376,62
DEP,2022,13307,62
DEP,2023,12929,62
DEP,2024,14151,62
DEP,2012,4384,63
DEP,2013,4600,63
DEP,2014,4586,63
DEP,2015,4266,63
DEP,2016,4302,63
DEP,2017,4870,63
DEP,2018,5562,63
DEP,2019,6074,63
DEP,2020,6639,63
DEP,2021,8213,63
DEP,2022,8527,63
DEP,2023,7725,63
DEP,2024,8299,63
DEP,2012,5951,64
DEP,2013,6039,64
DEP,2014,6042,64
DEP,2015,6074,64
DEP,2016,6161,64
DEP,2017,6597,64
DEP,2018,7676,64
DEP,2019,8734,64
DEP,2020,9079,64
DEP,2021,10704,64
DEP,2022,10708,64
DEP,2023,10320,64
DEP,2024,10438,64
DEP,2012,1965,65
DEP,2013,1862,65
DEP,2014,1779,65
DEP,2015,1727,65
DEP,2016,1824,65
DEP,2017,1911,65
DEP,2018,1966,65
DEP,2019,2494,65
DEP,2020,2629,65
DEP,2021,2848,65
DEP,2022,2986,65
DEP,2023,2866,65
DEP,2024,3024,65
DEP,2012,5115,66
DEP,2013,5253,66
DEP,2014,5268,66
DEP,2015,4952,66
DEP,2016,4923,66
DEP,2017,5134,66
DEP,2018,5696,66
DEP,2019,6313,66
DEP,2020,6316,66
DEP,2021,7941,66
DEP,2022,8034,66
DEP,2023,7768,66
DEP,2024,8435,66
DEP,2012,8329,67
DEP,2013,9105,67
DEP,2014,8973,67
DEP,2015,8016,67
DEP,2016,8917,67
DEP,2017,9837,67
DEP,2018,10659,67
DEP,2019,12209,67
DEP,2020,12944,67
DEP,2021,15908,67
DEP,2022,15712,67
DEP,2023,14410,67
DEP,2024,15950,67
DEP,2012,5264,68
DEP,2013,5388,68
DEP,2014,5259,68
DEP,2015,4694,68
DEP,2016,5231,68
DEP,2017,5465,68
DEP,2018,5817,68
DEP,2019,6931,68
DEP,2020,7550,68
DEP,2021,9005,68
DEP,2022,8749,68
DEP,2023,8626,68
DEP,2024,9038,68
DEP,2012,18675,69
DEP,2013,18836,69
DEP,2014,19426,69
DEP,2015,19715,69
DEP,2016,21947,69
DEP,2017,25340,69
DEP,2018,29620,69
